순번,영화명,감독,제작사,수입사,배급사,개봉일,영화형태,국적,전국 매출액,전국 관객수,장르,등급,영화구분
1538,가필드,피터 휴잇,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2004-08-19,장편,미국,0,330380,코미디,전체관람가,일반영화
1539,킬러스,로버트 루게틱,카탈스트 필름 라이온스 게이트 필름즈,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2010-09-02,장편,미국,2428979292,329086,액션,15세이상관람가,일반영화
1540,선 오브 갓,크리스토퍼 스펜서,,(주)수키픽쳐스,(주)프레인글로벌,2014-04-10,장편,미국,2392109800,329029,드라마,12세이상관람가,일반영화
1541,프로포즈,앤 플레쳐,터치스톤 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-09-03,장편,미국,2481694139,328767,멜로/로맨스,15세이상관람가,일반영화
1542,칠검,서극,중국전영합작제편공사 (주)에스씨에스엔터테인먼트,(주)타이거픽쳐스,(주)튜브엔터테인먼트,2005-09-29,장편,홍콩,0,328637,액션,15세관람가,일반영화
1543,파랑주의보,전윤수,(주)아이필름홀딩스,,아이러브시네마,2005-12-22,장편,한국,0,328538,드라마,12세관람가,일반영화
1544,링컨 차를 타는 변호사,브래드 퍼맨,,(주)더블앤조이픽쳐스,씨너스엔터테인먼트(주),2011-06-16,장편,미국,2443603500,327612,범죄,15세이상관람가,일반영화
1545,잭 라이언 : 코드네임 쉐도우,케네스 브래너,,(주)씨제이이엔엠,(주)씨제이이엔엠,2014-01-16,장편,미국,2395409500,327591,액션,12세이상관람가,일반영화
1546,미드나잇 선,스콧 스피어,,(주)우성엔터테인먼트,(주)삼백상회 (주)키다리이엔티,2018-06-21,장편,미국,2679300500,326086,멜로/로맨스,12세이상관람가,독립/예술영화
1547,그린랜드,릭 로먼 워,,(유)조이앤시네마,(주)제이앤씨미디어그룹 TCO(주)더콘텐츠온,2020-09-29,장편,미국,2777724520,325869,액션,12세이상관람가,일반영화
1548,헤어스프레이,아담 쉥크만,뉴라인 시네마,인터비스앤파트너스(주),㈜케이디미디어,2007-12-06,장편,미국,0,325171,드라마,12세이상관람가,일반영화
1549,미스 포터,크리스 누난,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2007-01-25,장편,영국,0,325085,드라마,전체관람가,일반영화
1550,스폰지밥 3D,폴 티비트,,(주)씨제이이엔엠,(주)씨제이이엔엠,2015-02-18,장편,미국,2458946200,325016,애니메이션,전체관람가,일반영화
1551,사랑하기 때문에,주지홍,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2017-01-04,장편,한국,2538169440,324420,코미디,12세이상관람가,일반영화
1552,희생부활자,곽경택,(주)영화사 신세계 (주)바른손이앤에이,,(주)쇼박스,2017-10-12,장편,한국,2515479835,323628,미스터리,15세이상관람가,일반영화
1553,헬보이,닐 마샬,,(주)우성엔터테인먼트,메가박스중앙(주)플러스엠,2019-04-10,장편,미국,2776406321,323098,액션,청소년관람불가,일반영화
1554,정승필 실종사건,강석범,화이트리시네마,,롯데쇼핑㈜롯데엔터테인먼트,2009-10-08,장편,한국,2321588076,322459,코미디,15세이상관람가,일반영화
1555,가면,양윤호,(주)디알엠엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2007-12-27,장편,한국,0,322342,스릴러,청소년관람불가,일반영화
1556,아담스 패밀리,그렉 티어넌 콘래드 베논,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-11-07,장편,미국,2565386140,321726,애니메이션,전체관람가,일반영화
1557,좋지 아니한가,정윤철,(주)무사이필름,,(주)시네마서비스 CJ ENM,2007-03-01,장편,한국,0,321654,드라마,15세이상관람가,일반영화
1558,옥자,봉준호,플랜 비 엔터테인먼트 (주)루이스 픽쳐스,,(주)넥스트엔터테인먼트월드(NEW),2017-06-29,장편,미국,2432883900,321550,어드벤처,12세이상관람가,일반영화
1559,블레이드 러너 2049,드니 빌뇌브,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-10-12,장편,미국,2760845365,321018,SF,15세이상관람가,일반영화
1560,어글리 트루스,로버트 루게틱,레이크쇼어 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-09-17,장편,미국,2471953101,320997,코미디,청소년관람불가,일반영화
1561,극적인 하룻밤,하기호,(주)연우무대 (주)인사이드픽쳐스,,CGV아트하우스,2015-12-03,장편,한국,2610929429,320923,멜로/로맨스,청소년관람불가,일반영화
1562,극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트  뮤츠의 각성,유야마 쿠니히코,,(주)포켓몬코리아,(주)씨제이이엔엠,2014-01-09,장편,일본,2080468500,320409,애니메이션,전체관람가,일반영화
1563,아기배달부 스토크,니콜라스 스톨러 더그 스윗랜드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-12-07,장편,미국,2415830200,320353,애니메이션,전체관람가,일반영화
1564,인터프리터,시드니 폴락,워킹 타이틀 필름,UIP코리아,UIP코리아,2005-04-22,장편,영국,0,320000,드라마,12세관람가,일반영화
1565,크레이들 2 그레이브,안드레이 바르코비악,,워너브러더스 코리아(주),워너브러더스 코리아(주),2003-04-11,장편,미국,0,320000,액션,15세관람가,일반영화
1566,뮨: 달의 요정,알렉상드르 헤보얀 베노이트 필립폰,,(주)스마일이엔티,(주)스마일이엔티 씨네그루(주)다우기술,2015-09-24,장편,프랑스,2331900700,319072,애니메이션,전체관람가,독립/예술영화
1567,빅풋 주니어,제레미 드그루손 벤 스타센,,(주)퍼스트런 유니콘미디어(주),(주)이수C&E,2017-08-09,장편,벨기에,2245548900,318737,애니메이션,전체관람가,일반영화
1568,오멘,존 무어,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2006-06-06,장편,미국,0,318350,공포(호러),18세관람가,일반영화
1569,검우강호,오우삼,베이징,(주)포커스엔터테인먼트,(주)에스비에스콘텐츠허브,2010-10-14,장편,홍콩,2281559914,318157,액션,15세이상관람가,일반영화
1570,도리화가,이종필,(주)영화사 담담 (주)어바웃필름,,(주)씨제이이엔엠,2015-11-25,장편,한국,2246950339,317505,사극,12세이상관람가,일반영화
1571,유실물,후루사와 다케시,쇼지쿠 컴퍼니,,CJ ENM,2006-07-27,장편,일본,0,317439,공포(호러),15세관람가,일반영화
1572,세상에서 가장 아름다운 이별,민규동,(주)수필름,,(주)넥스트엔터테인먼트월드(NEW),2011-04-20,장편,한국,2295897500,316788,드라마,15세이상관람가,일반영화
1573,레드카펫,박범수,씨네주(유) (주)누리픽쳐스,,(주)프레인글로벌,2014-10-23,장편,한국,2404458580,316780,멜로/로맨스,15세이상관람가,일반영화
1574,퍼펙트 겟어웨이,데이빗 토히,데이비스 엔터테인먼트 필름웍스,영화사이슈,(주)시너지하우스 (시너지),2009-08-20,장편,미국,2343962833,315888,스릴러,15세이상관람가,일반영화
1575,P.S. 아이 러브 유,리차드 라그라브네스,,(주)쇼박스,(주)쇼박스,2008-01-03,장편,미국,2119345000,315863,멜로/로맨스,15세이상관람가,일반영화
1576,극장판 도라에몽:진구의 마계대모험 7인의 마법사,테라모토 유키요,,대원미디어(주),대원미디어(주),2008-07-17,장편,일본,1903393500,315809,애니메이션,전체관람가,일반영화
1577,겁나는 여친의 완벽한 비밀,이반 라이트만,,이십세기폭스코리아(주),이십세기폭스코리아(주),2006-08-17,장편,미국,0,315396,코미디,15세관람가,일반영화
1578,미녀와 야수,크리스토프 갱스,,(주)영화사선,(주)넥스트엔터테인먼트월드(NEW),2014-06-18,장편,프랑스,2385847300,315348,판타지,전체관람가,일반영화
1579,캐롤,토드 헤인즈,,주식회사 더쿱,CGV아트하우스,2016-02-04,장편,미국,2608608616,315321,드라마,청소년관람불가,독립/예술영화
1580,차이니즈 조디악,성룡,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2013-02-27,장편,중국,2211711500,315305,액션,12세이상관람가,일반영화
1581,스카우트,김현석,㈜두루미필름,,CJ ENM,2007-11-14,장편,한국,0,315187,드라마,12세이상관람가,일반영화
1582,번 더 스테이지: 더 무비,박준수,빅히트 엔터테인먼트 (주)캠프엔터테인먼트,,월트디즈니컴퍼니코리아 유한책임회사,2018-11-15,장편,한국,2671391900,315010,기타,전체관람가,일반영화
1583,마이 블랙 미니드레스,허인무,(주)토리픽쳐스,,(주)씨제이이엔엠,2011-03-24,장편,한국,2318884500,313953,드라마,15세이상관람가,일반영화
1584,엘라의 모험 : 해피엔딩의 위기,폴 J. 볼거,,㈜메가박스,(주)쇼박스,2008-01-24,장편,독일,1791623000,312640,애니메이션,전체관람가,일반영화
1585,CJ7:장강7호,주성치,,㈜코리아스크린,㈜스튜디오이쩜영,2008-08-21,장편,홍콩,1955693500,312576,SF,전체관람가,일반영화
1586,헨젤과 그레텔,임필성,(주)바른손이앤에이,,CJ ENM,2007-12-27,장편,한국,0,312459,드라마,12세이상관람가,일반영화
1587,인사이드 맨,스파이크 리,유니버셜 픽쳐스 이메이진엔터테인먼트,UIP코리아,UIP코리아,2006-04-21,장편,미국,0,311495,드라마,15세관람가,일반영화
1588,비행기 2: 소방구조대,로버츠 개너웨이,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-08-13,장편,미국,2246970700,311456,애니메이션,전체관람가,일반영화
1589,쇼퍼홀릭,P.J. 호건,터치스톤 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-03-26,장편,미국,2103939884,311274,코미디,12세이상관람가,일반영화
1590,트루스 오어 데어,제프 와드로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-05-22,장편,미국,2647330400,310956,공포(호러),15세이상관람가,일반영화
1591,게이머,브라이언 테일러 마크 네빌딘,라이온스 게이트 필름즈,영화사이슈,(주)시너지하우스 (시너지),2009-10-01,장편,미국,2380275031,310548,액션,청소년관람불가,일반영화
1592,주피터 어센딩,라나 워쇼스키 릴리 워쇼스키,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-05,장편,미국,2685741879,309729,SF,12세이상관람가,일반영화
1593,위대한 소원,남대중,주식회사 브레인샤워,,(주)넥스트엔터테인먼트월드(NEW),2016-04-21,장편,한국,2438260213,308180,코미디,15세이상관람가,일반영화
