순번,영화명,감독,제작사,수입사,배급사,개봉일,영화형태,국적,전국 매출액,전국 관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,(주)씨제이이엔엠,2014-07-30,장편,한국,1.35748E+11,17613682,사극,15세이상관람가,일반영화
2,극한직업,이병헌,(주)어바웃필름 영화사 해그림 주식회사 (주)씨제이이엔엠,,(주)씨제이이엔엠,2019-01-23,장편,한국,1.39648E+11,16264944,코미디,15세이상관람가,일반영화
3,신과함께-죄와 벌,김용화,리얼라이즈픽쳐스(주) (주)덱스터스튜디오,,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,장편,한국,1.15699E+11,14410754,판타지,12세이상관람가,일반영화
4,국제시장,윤제균,(주)제이케이필름 (주)씨제이이엔엠,,(주)씨제이이엔엠,2014-12-17,장편,한국,1.10828E+11,14245998,드라마,12세이상관람가,일반영화
5,어벤져스: 엔드게임,안소니 루소 조 루소,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,장편,미국,1.22183E+11,13934592,액션,12세이상관람가,일반영화
6,겨울왕국 2,크리스 벅 제니퍼 리,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,장편,미국,1.1481E+11,13747792,애니메이션,전체관람가,일반영화
7,아바타,제임스 카메론,이십세기폭스필름코퍼레이션,주식회사 해리슨앤컴퍼니 이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니 이십세기폭스코리아(주),2009-12-17,장편,미국,1.28447E+11,13624328,SF,12세이상관람가,독립/예술영화
8,베테랑,류승완,(주)외유내강 (주)필름케이,,(주)씨제이이엔엠,2015-08-05,장편,한국,1.05025E+11,13395400,액션,15세이상관람가,일반영화
9,괴물,봉준호,영화사청어람(주),,(주)쇼박스,2006-07-27,장편,한국,0,13019740,SF,12세관람가,일반영화
10,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,장편,한국,93665568500,12983330,액션,15세이상관람가,일반영화
11,7번방의 선물,이환경,(주)화인웍스 (주)씨엘엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,장편,한국,91431914670,12811206,코미디,15세이상관람가,일반영화
12,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,장편,한국,98463132781,12705700,액션,15세이상관람가,일반영화
13,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,장편,미국,1.06984E+11,12555894,어드벤처,전체관람가,일반영화
14,광해  왕이 된 남자,추창민,리얼라이즈픽쳐스(주) (주)씨제이이엔엠,,(주)씨제이이엔엠,2012-09-13,장편,한국,88900208769,12319542,사극,15세이상관람가,일반영화
15,왕의 남자,이준익,(주)씨네월드 (주)이글픽쳐스,,(주)시네마서비스,2005-12-29,장편,한국,0,12302831,드라마,15세이상관람가,일반영화
16,신과함께-인과 연,김용화,리얼라이즈픽쳐스(주) (주)덱스터스튜디오,,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,장편,한국,1.02477E+11,12253247,판타지,12세이상관람가,일반영화
17,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,장편,한국,95284747049,12099971,드라마,15세이상관람가,일반영화
18,태극기 휘날리며,강제규,강제규필름,,(주)다자인소프트 (주)쇼박스,2004-02-05,장편,한국,0,11746135,전쟁,15세관람가,일반영화
19,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,장편,한국,93175877048,11565078,액션,15세이상관람가,일반영화
20,해운대,윤제균,(주)제이케이필름,,CJ ENM,2009-07-22,장편,한국,81934638201,11453338,액션,12세이상관람가,일반영화
21,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,장편,한국,82856578300,11372451,드라마,15세이상관람가,일반영화
22,어벤져스: 인피니티 워,안소니 루소 조 루소,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,장편,미국,99919006769,11211880,액션,12세이상관람가,일반영화
23,실미도,강우석,(주)시네마서비스,,(주)시네마서비스,2003-12-24,장편,한국,0,11081000,전쟁,15세관람가,일반영화
24,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아 유한책임회사 월트디즈니컴퍼니코리아(주),2015-04-23,장편,미국,88582586366,10494499,액션,12세이상관람가,일반영화
25,기생충,봉준호,(주)바른손이앤에이,,(주)씨제이이엔엠,2019-05-30,장편,한국,87459829095,10313086,드라마,15세이상관람가,일반영화
26,겨울왕국,크리스 벅 제니퍼 리,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,장편,미국,82461504400,10296101,애니메이션,전체관람가,일반영화
27,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,장편,미국,82274331200,10273803,SF,12세이상관람가,일반영화
28,보헤미안 랩소디,브라이언 싱어,,이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사 이십세기폭스코리아(주),2018-10-31,장편,미국,86280975785,9948386,드라마,12세이상관람가,일반영화
29,검사외전,이일형,(주)영화사 월광 (주)사나이픽처스,,(주)쇼박스,2016-02-03,장편,한국,77252755264,9699092,범죄,15세이상관람가,일반영화
30,엑시트,이상근,(주)외유내강 (주)필름케이,,(주)씨제이이엔엠,2019-07-31,장편,한국,79232212162,9426051,코미디,12세이상관람가,일반영화
31,관상,한재림,(주)주피터필름 (주)쇼박스,,(주)쇼박스,2013-09-11,장편,한국,66005451500,9134586,사극,15세이상관람가,일반영화
32,아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,장편,미국,70806191000,9001309,액션,12세이상관람가,일반영화
33,설국열차,봉준호,(주)모호필름 오퍼스픽쳐스(유),,(주)씨제이이엔엠,2013-08-01,장편,한국,64016480000,8914845,SF,15세이상관람가,일반영화
34,캡틴 아메리카: 시빌 워,안소니 루소 조 루소,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,장편,미국,72672111827,8677249,액션,12세이상관람가,일반영화
35,수상한 그녀,황동혁,(주)예인플러스엔터테인먼트 아이앤코스모스(주)시네와이즈필름,,(주)씨제이이엔엠,2014-01-22,장편,한국,62696639249,8656397,드라마,15세이상관람가,일반영화
36,해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,장편,한국,66240631706,8646758,어드벤처,12세이상관람가,일반영화
37,국가대표,김용화,케이엠컬쳐㈜,,(주)쇼박스,2009-07-29,장편,한국,60896633308,8487894,드라마,12세이상관람가,일반영화
38,디워,심형래,㈜영구아트,,(주)쇼박스,2007-08-01,장편,한국,0,8426973,액션,12세이상관람가,일반영화
39,백두산,이해준 김병서,주식회사 덱스터 픽쳐스 (주)퍼펙트스톰필름 (주)씨제이이엔엠,,(주)씨제이이엔엠 (주)덱스터스튜디오,2019-12-19,장편,한국,69825366300,8252669,어드벤처,12세이상관람가,일반영화
40,과속스캔들,강형철,(주)토일렛픽쳐스 (주)디씨지플러스,,롯데쇼핑㈜롯데엔터테인먼트,2008-12-03,장편,한국,53940101534,8245523,코미디,12세이상관람가,일반영화
41,스파이더맨: 파 프롬 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,장편,미국,69000711100,8020208,액션,12세이상관람가,일반영화
42,웰컴 투 동막골,박광현,필름있수다 (주)쇼박스,,(주)쇼박스,2005-08-04,장편,한국,0,8008622,전쟁,12세관람가,일반영화
43,공조,김성훈,(주)제이케이필름 (주)씨제이이엔엠 영화사 이창 (주)에이치비엔터테인먼트,,(주)씨제이이엔엠,2017-01-18,장편,한국,63781731326,7817446,액션,15세이상관람가,일반영화
44,트랜스포머 3,마이클 베이,,(주)씨제이이엔엠,(주)씨제이이엔엠,2011-06-29,장편,미국,74841350500,7784807,액션,12세이상관람가,일반영화
45,히말라야,이석훈,(주)제이케이필름,,(주)씨제이이엔엠,2015-12-16,장편,한국,60173583015,7759473,드라마,12세이상관람가,일반영화
46,미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,(주)씨제이이엔엠,(주)씨제이이엔엠,2011-12-15,장편,미국,57795846000,7575899,액션,15세이상관람가,일반영화
47,트랜스포머: 패자의 역습,마이클 베이,드림웍스 SKG 파라마운트 픽쳐스,CJ ENM,CJ ENM,2009-06-24,장편,미국,51478531663,7505700,SF,12세이상관람가,일반영화
48,밀정,김지운,(주)다크서클픽쳐스 워너브러더스 코리아(주) (주)영화사하얼빈,,워너브러더스 코리아(주),2016-09-07,장편,한국,61158644831,7487545,액션,15세이상관람가,일반영화
49,최종병기 활,김한민,(주)디씨지플러스 (주)다세포클럽,,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,장편,한국,55808856500,7466976,사극,15세이상관람가,일반영화
50,트랜스포머,마이클 베이,드림웍스픽쳐스 드림웍스 SKG 파라마운트 픽쳐스,CJ ENM,CJ ENM,2007-06-28,장편,미국,0,7440531,SF,12세이상관람가,일반영화
51,써니,강형철,(주)알로하픽쳐스 (주)토일렛픽쳐스,,(주)씨제이이엔엠,2011-05-04,장편,한국,53773170600,7328820,드라마,15세이상관람가,일반영화
52,화려한 휴가,김지훈,기획시대(주),,CJ ENM,2007-07-25,장편,한국,0,7307993,드라마,12세이상관람가,일반영화
53,스파이더맨: 홈 커밍,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,장편,미국,59120173820,7257973,액션,12세이상관람가,일반영화
54,1987,장준환,(주)우정필름,,(주)씨제이이엔엠,2017-12-27,장편,한국,58165581145,7231638,드라마,15세이상관람가,일반영화
55,베를린,류승완,(주)외유내강 (주)씨제이이엔엠,,(주)씨제이이엔엠,2013-01-30,장편,한국,52354931637,7166199,액션,15세이상관람가,일반영화
56,마스터,조의석,영화사 집,,(주)씨제이이엔엠,2016-12-21,장편,한국,58067927865,7150541,액션,15세이상관람가,일반영화
57,터널,김성훈,(주)어나더썬데이 (주)비에이엔터테인먼트,,(주)쇼박스,2016-08-10,장편,한국,57510324417,7118592,드라마,12세이상관람가,일반영화
58,어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,월트디즈니컴퍼니코리아 유한책임회사 한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,장편,미국,59557853478,7074867,액션,12세이상관람가,일반영화
59,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,장편,한국,56596582057,7071763,범죄,청소년관람불가,일반영화
60,인천상륙작전,이재한,(주)태원엔터테인먼트,,(주)씨제이이엔엠,2016-07-27,장편,한국,55101410303,7049643,전쟁,12세이상관람가,일반영화
61,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,장편,한국,56361435256,6965706,코미디,15세이상관람가,일반영화
62,은밀하게 위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,장편,한국,48663939413,6953800,액션,15세이상관람가,일반영화
63,곡성,나홍진,(주)사이드미러 이십세기폭스 인터내셔널 프로덕션,,이십세기폭스코리아(주),2016-05-12,장편,한국,55853108382,6878264,미스터리,15세이상관람가,일반영화
64,범죄도시,강윤성,(주)홍필름 (주)비에이엔터테인먼트,,메가박스중앙(주)플러스엠 (주)키위미디어그룹,2017-10-03,장편,한국,56077813249,6851297,범죄,청소년관람불가,일반영화
65,타짜,최동훈,(주)영화사참 (주)싸이더스,,CJ ENM,2006-09-28,장편,한국,0,6847777,드라마,18세관람가,일반영화
66,좋은 놈  나쁜 놈  이상한 놈,김지운,(주)다크서클픽쳐스 (주)바른손이앤에이,,CJ ENM,2008-07-17,장편,한국,43768628939,6686912,서부극(웨스턴),15세이상관람가,일반영화
67,늑대소년,조성희,(주)영화사비단길,,(주)씨제이이엔엠,2012-10-31,장편,한국,46593107500,6654837,멜로/로맨스,15세이상관람가,일반영화
68,미녀는 괴로워,김용화,리얼라이즈픽쳐스(주) 케이엠컬쳐㈜,,(주)쇼박스,2006-12-14,장편,한국,0,6619498,멜로/로맨스,12세이상관람가,일반영화
69,군함도,류승완,(주)외유내강 (주)필름케이,,(주)씨제이이엔엠,2017-07-26,장편,한국,50510565168,6592151,액션,15세이상관람가,일반영화
70,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,장편,미국,55888375112,6584915,액션,15세이상관람가,일반영화
71,다크 나이트 라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-07-19,장편,미국,47644838000,6396528,액션,15세이상관람가,일반영화
72,아저씨,이정범,오퍼스픽쳐스(유),,CJ ENM,2010-08-04,장편,한국,47870792359,6282774,액션,청소년관람불가,일반영화
73,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,장편,한국,48842902501,6246849,사극,12세이상관람가,일반영화
74,전우치,최동훈,영화사 집,,CJ ENM,2009-12-23,장편,한국,44605437017,6136928,액션,12세이상관람가,일반영화
75,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,장편,미국,48547353607,6126488,액션,15세이상관람가,일반영화
76,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,장편,미국,50333635795,6125154,액션,청소년관람불가,일반영화
77,투사부일체,김동원,(주)시네마제니스,,CJ ENM,2006-01-19,장편,한국,0,6105431,코미디,15세관람가,일반영화
78,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,장편,한국,45560620330,6043458,드라마,12세이상관람가,일반영화
79,반지의 제왕 : 왕의 귀환,피터 잭슨,,워너브러더스 코리아(주) (주)태원엔터테인먼트,워너브러더스 코리아(주) CJ ENM,2003-12-17,장편,미국,0,5960000,판타지,12세관람가,일반영화
80,인셉션,크리스토퍼 놀란,워너 브러더스 픽쳐스 레젼데리 픽쳐스,(주)엔케이컨텐츠 워너브러더스 코리아(주),(주)디스테이션 워너브러더스 코리아(주),2010-07-21,장편,미국,44106546302,5926948,드라마,12세이상관람가,일반영화
81,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,장편,미국,43044999000,5911890,드라마,12세이상관람가,일반영화
82,쉬리,강제규,강제규필름,,,1999-02-13,장편,한국,0,5820000,액션,15세 미만인 자는 관람할 수 없는 등급,일반영화
83,캡틴 마블,애너 보든 라이언 플렉,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,장편,미국,51491272223,5801069,액션,12세이상관람가,일반영화
84,미션 임파서블 3,J.J. 에이브럼스,파라마운트 픽쳐스 크루즈/와그너 프로덕션,UIP코리아,UIP코리아,2006-05-03,장편,미국,0,5740789,액션,15세관람가,일반영화
85,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,장편,미국,49770711037,5661128,액션,12세이상관람가,일반영화
86,청년경찰,김주환,(주)무비락 (주)도서관옆스튜디오 베리굿스튜디오(주),,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,장편,한국,44241099316,5636259,액션,15세이상관람가,일반영화
87,가문의 위기(가문의 영광2),정용기,(주)태원엔터테인먼트,,(주)쇼박스,2005-09-07,장편,한국,0,5635266,코미디,15세관람가,일반영화
88,숨바꼭질,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,장편,한국,39593038500,5602543,스릴러,15세이상관람가,일반영화
89,덕혜옹주,허진호,(주)하이브미디어코프 (주)영화사호필름  (주)디씨지플러스,,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,장편,한국,44344141109,5593551,사극,12세이상관람가,일반영화
90,더 테러 라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,장편,한국,39866712881,5583596,범죄,15세이상관람가,일반영화
91,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,장편,미국,47800698826,5546792,액션,12세이상관람가,일반영화
92,의형제,장훈,(주)쇼박스 (주)다세포클럽 루비콘픽쳐스㈜,,(주)쇼박스,2010-02-04,장편,한국,40800867602,5507106,드라마,15세이상관람가,일반영화
93,감시자들,조의석 김병서,영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,장편,한국,39298005179,5496547,범죄,15세이상관람가,일반영화
94,2012,롤랜드 에머리히,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,장편,미국,39415166660,5462953,SF,12세이상관람가,일반영화
95,앤트맨과 와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,장편,미국,47465443185,5447826,액션,12세이상관람가,일반영화
96,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,장편,미국,47482530396,5446379,액션,12세이상관람가,일반영화
97,검은 사제들,장재현,영화사 집,,(주)씨제이이엔엠,2015-11-05,장편,한국,42395347092,5440945,미스터리,15세이상관람가,일반영화
98,안시성,김광식,(주)영화사수작 (주)스튜디오앤뉴 모티브픽쳐스(주),,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,장편,한국,46335334026,5440186,사극,12세이상관람가,일반영화
99,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,장편,미국,45883143457,5398994,액션,12세이상관람가,일반영화
100,더 킹,한재림,(주)매그넘나인,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,장편,한국,43486078535,5316325,범죄,15세이상관람가,일반영화
101,완득이,이한,(주)유비유필름 어나더픽쳐스(주),,(주)씨제이이엔엠,2011-10-20,장편,한국,38530503500,5310510,드라마,12세이상관람가,일반영화
102,트랜스포머: 사라진 시대,마이클 베이,,(주)씨제이이엔엠,(주)씨제이이엔엠,2014-06-25,장편,미국,44012272845,5295801,액션,12세이상관람가,일반영화
103,완벽한 타인,이재규,(주)필름몬스터 드라마하우스(주),,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,장편,한국,44356752474,5294119,드라마,15세이상관람가,일반영화
104,살인의 추억,봉준호,(주)싸이더스,,CJ ENM,2003-04-25,장편,한국,,5255376,스릴러,15세관람가,일반영화
105,조커,토드 필립스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-10-02,장편,미국,45442252130,5255228,액션,15세이상관람가,일반영화
106,월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,장편,미국,38555357000,5237525,드라마,15세이상관람가,일반영화
107,반지의 제왕 : 두개의 탑,피터 잭슨,,워너브러더스 코리아(주) (주)태원엔터테인먼트 ㈜에스앤엠코리아,워너브러더스 코리아(주) (주)시네마서비스,2002-12-19,장편,미국,0,5183000,액션,12세관람가,일반영화
108,타워,김지훈,(주)씨제이이엔엠 (주)더타워픽쳐스,,(주)씨제이이엔엠,2012-12-25,장편,한국,37654858000,5181014,드라마,12세이상관람가,일반영화
109,말아톤,정윤철,시네라인투(주),,(주)쇼박스,2005-01-27,장편,한국,0,5148022,드라마,전체관람가,일반영화
110,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,장편,미국,42130589579,5137993,멜로/로맨스,전체관람가,일반영화
111,추격자,나홍진,(주)영화사비단길,,(주)쇼박스,2008-02-14,장편,한국,33943278500,5071619,범죄,청소년관람불가,일반영화
112,독전,이해영,(주)용필름 보야저필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,장편,한국,43484892913,5063620,범죄,15세이상관람가,일반영화
113,쿵푸팬더 2,여인영,,(주)씨제이이엔엠,(주)씨제이이엔엠,2011-05-26,장편,미국,44298724500,5062722,애니메이션,전체관람가,일반영화
114,아쿠아맨,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-12-19,장편,미국,44113456704,5038134,액션,12세이상관람가,일반영화
115,공작,윤종빈,(주)영화사 월광 (주)사나이픽처스,,(주)씨제이이엔엠,2018-08-08,장편,한국,42759410176,4971261,드라마,12세이상관람가,일반영화
116,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,장편,미국,38015586936,4968687,애니메이션,전체관람가,일반영화
117,캐리비안의 해적: 세상의 끝에서,고어 버빈스키,제리 브룩하이머 필름 월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-23,장편,미국,0,4966571,액션,12세이상관람가,일반영화
118,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,장편,미국,40987484736,4945484,액션,청소년관람불가,일반영화
119,동갑내기 과외하기,김경형,코리아 엔터테인먼트,,CJ ENM,2003-02-07,장편,한국,,4937573,코미디,12세관람가,일반영화
120,스파이더맨 3,샘 레이미,콜럼비아 픽쳐스 코포레이션 마블 엔터프라이즈,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-01,장편,미국,0,4935660,액션,12세이상관람가,일반영화
121,바람과 함께 사라지다,김주호,(주)두타연 (주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,장편,한국,34524377161,4897551,코미디,12세이상관람가,일반영화
122,마션,리들리 스콧,,이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사 이십세기폭스코리아(주),2015-10-08,장편,미국,39612764295,4875494,액션,12세이상관람가,일반영화
123,토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,장편,미국,39248432595,4857152,액션,12세이상관람가,일반영화
124,어메이징 스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,장편,미국,41163951235,4853123,액션,12세이상관람가,일반영화
125,님아  그 강을 건너지 마오,진모영,아거스필름,,CGV아트하우스 (주)대명문화공장,2014-11-27,장편,한국,37354452679,4801355,다큐멘터리,전체관람가,독립/예술영화
126,조선명탐정 : 각시투구꽃의 비밀,김석윤,청년필름(주),,(주)쇼박스,2011-01-27,장편,한국,35841769500,4786259,코미디,12세이상관람가,일반영화
127,봉오동 전투,원신연,(주)빅스톤픽쳐스 (주)더블유픽처스 (주)쇼박스,,(주)쇼박스,2019-08-07,장편,한국,40514276538,4779501,사극,15세이상관람가,일반영화
128,군도: 민란의 시대,윤종빈,(주)영화사 월광 (주)쇼박스,,(주)쇼박스,2014-07-23,장편,한국,36987755999,4774895,사극,15세이상관람가,일반영화
129,남산의 부장들,우민호,(주)하이브미디어코프,,(주)쇼박스,2020-01-22,장편,한국,41223596650,4750104,드라마,15세이상관람가,일반영화
130,라이온 킹,존 파브로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17,장편,미국,41518977430,4743184,어드벤처,전체관람가,일반영화
131,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)팔레트픽처스 (주)쇼박스,,(주)쇼박스,2012-02-02,장편,한국,36479147500,4710454,범죄,청소년관람불가,일반영화
132,주토피아,바이론 하워드 리치 무어,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,장편,미국,37077444042,4703245,애니메이션,전체관람가,일반영화
133,엣지 오브 투모로우,더그 라이만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-06-04,장편,미국,38703942201,4697142,액션,12세이상관람가,일반영화
134,신세계,박훈정,(주)사나이픽처스 (주)페퍼민트앤컴퍼니 (주)대명문화공장 (주)파트너스케이,,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,장편,한국,34881330905,4682492,범죄,청소년관람불가,일반영화
135,쿵푸 팬더,마크 오스본 존 스티븐슨,,CJ ENM,CJ ENM,2008-06-05,장편,미국,30000965000,4673009,애니메이션,전체관람가,일반영화
136,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,장편,미국,39337263058,4666993,어드벤처,12세이상관람가,일반영화
137,도가니,황동혁,(주)삼거리픽쳐스 (주)판타지오,,(주)씨제이이엔엠,2011-09-22,장편,한국,35566854800,4662822,드라마,청소년관람불가,일반영화
138,캐리비안의 해적 : 망자의 함,고어 버빈스키,월트 디즈니 픽쳐스,브에나비스타인터내셔널코리아,브에나비스타인터내셔널코리아,2006-07-06,장편,미국,0,4628903,액션,12세관람가,일반영화
139,박물관이 살아있다!,숀 레비,이십세기폭스필름코퍼레이션 1492픽쳐스,이십세기폭스코리아(주),이십세기폭스코리아(주),2006-12-21,장편,미국,0,4612831,코미디,전체관람가,일반영화
140,내 아내의 모든 것,민규동,(주)수필름 영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,장편,한국,34222160500,4598583,코미디,15세이상관람가,일반영화
141,나쁜 녀석들: 더 무비,손용호,(주)씨제이이엔엠 (주)영화사비단길,,(주)씨제이이엔엠,2019-09-11,장편,한국,39560195124,4573902,범죄,15세이상관람가,일반영화
142,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,장편,한국,35965733064,4571142,드라마,12세이상관람가,일반영화
143,터미네이터 : 미래전쟁의 시작,맥지,더 할사이온 컴퍼니,(유)마스엔터테인먼트코리아,롯데쇼핑㈜롯데엔터테인먼트,2009-05-21,장편,미국,30146162133,4568891,SF,15세이상관람가,일반영화
144,맘마미아!,필리다 로이드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2008-09-03,장편,미국,29570784560,4554785,멜로/로맨스,12세이상관람가,일반영화
145,연가시,박정우,(주)오죤필름,,(주)씨제이이엔엠,2012-07-05,장편,한국,32154766664,4513026,공포(호러),15세이상관람가,일반영화
146,아이언맨 2,존 파브로,파라마운트 픽쳐스 마블 엔터프라이즈,CJ ENM,CJ ENM,2010-04-29,장편,미국,33161943100,4498335,SF,12세이상관람가,일반영화
147,강철비,양우석,(주)와이웍스엔터테인먼트 (주)모팩,,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,장편,한국,35477912466,4451336,액션,15세이상관람가,일반영화
148,해리포터와 죽음의 성물2,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-07-13,장편,미국,34507819000,4400298,판타지,전체관람가,일반영화
149,다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,,(주)씨제이이엔엠,2020-08-05,장편,한국,38554527990,4352669,범죄,15세이상관람가,일반영화
